"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 01 01:57:14 IST 2021","Fri Oct 01 01:57:33 IST 2021","18374","","test_01","","","","test_inValid_data",""
"passed","Fri Oct 01 02:00:18 IST 2021","Fri Oct 01 02:00:23 IST 2021","5068","","test_wait","","","","test_Registation_Valid_data",""
"passed","Fri Oct 01 01:57:02 IST 2021","Fri Oct 01 01:57:14 IST 2021","12644","","test_01","","","","test_Registation_inValid_data",""
"passed","Fri Oct 01 01:59:49 IST 2021","Fri Oct 01 01:59:58 IST 2021","8937","","test_fixture","","","","test_inValid_data",""
"passed","Fri Oct 01 01:58:24 IST 2021","Fri Oct 01 01:58:33 IST 2021","9339","","test_fixture","","","","test_Registation_Valid_data",""
"passed","Fri Oct 01 01:56:48 IST 2021","Fri Oct 01 01:57:01 IST 2021","13886","","test_01","","","","test_Registation_Valid_data",""
"passed","Fri Oct 01 01:57:48 IST 2021","Fri Oct 01 01:58:05 IST 2021","16575","","test_MultiwindowHendel","","","","test_login",""
"passed","Fri Oct 01 01:59:06 IST 2021","Fri Oct 01 01:59:27 IST 2021","20127","","test_fixture","","","","test_Registation_inValid_data",""
